comparison,model,dataset,reference_condition,condition,common_problem_count,reference_problem_mean,condition_problem_mean,problem_mean_difference,difference_interval_low,difference_interval_high,problems_better,problems_same,problems_worse,reference_file,condition_file
compound_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:compound,compound:d1,30,0.9041666666666667,0.8625,-0.041666666666666664,-0.07708333333333334,-0.0125,1,21,8,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260322_010412.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260419_202857.json
compound_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:compound,compound:d2,30,0.9041666666666667,0.84375,-0.06041666666666667,-0.12083333333333333,-0.01875,0,22,8,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260322_010412.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260420_071600.json
compound_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:compound,compound:d3,30,0.9041666666666667,0.81875,-0.08541666666666667,-0.15833333333333333,-0.029166666666666667,1,18,11,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260322_010412.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260421_163210.json
passive_context_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:compound,passive_context:repeat:d3,30,0.9041666666666667,0.8520833333333333,-0.052083333333333336,-0.09791666666666667,-0.014583333333333334,1,21,8,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260322_010412.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_passive_context_d3_s42_20260804_205226.json
passive_context_vs_compound,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,compound:d3,passive_context:repeat:d3,30,0.81875,0.8520833333333333,0.03333333333333333,0.0020833333333333333,0.07083333333333333,9,17,4,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260421_163210.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_passive_context_d3_s42_20260804_205226.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,interleaved_context_line,30,0.8916666666666667,0.7666666666666667,-0.125,-0.2125,-0.052083333333333336,0,18,12,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_line_s42_20260309_044638.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,interleaved_context_symbol,30,0.8916666666666667,0.0,-0.8916666666666667,-0.975,-0.7854166666666667,0,2,28,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_symbol_s42_20260309_044638.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,interleaved_context_word,30,0.8916666666666667,0.24583333333333332,-0.6458333333333334,-0.7770833333333333,-0.5104166666666666,0,4,26,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_word_s42_20260309_044638.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,not_not,30,0.8916666666666667,0.8229166666666666,-0.06875,-0.11458333333333333,-0.029166666666666667,1,18,11,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_not_not_s42_20260311_190344.json
perturbation_vs_baseline,Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,opposites,30,0.8916666666666667,0.7770833333333333,-0.11458333333333333,-0.21041666666666667,-0.03958333333333333,1,18,11,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_opposites_s42_20260309_044638.json
